timestamp_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x,gyro_y,gyro_z
28130574,-9.80665,-0.1149216796875,0.1867477294921875,153,-75,11
28130584,-9.80665,-0.033518823242187495,0.201112939453125,153,-75,10
28130594,-9.821015209960937,-0.105344873046875,0.21068974609375,153,-75,10
28130604,-9.811438403320311,-0.11013327636718749,0.1771709228515625,153,-74,10
28130614,-9.80665,-0.1005564697265625,0.201112939453125,153,-75,10
28130624,-9.840168823242188,-0.0718260498046875,0.2154781494140625,153,-75,10
28130634,-9.816226806640625,-0.08140285644531249,0.3016694091796875,153,-75,10
28130644,-9.816226806640625,-0.05746083984375,0.19632453613281248,153,-75,10
28130654,-9.816226806640625,-0.028730419921875,0.19632453613281248,153,-75,10
28130664,-9.792284790039062,-0.08140285644531249,0.19632453613281248,153,-75,10
28130674,-9.82580361328125,-0.11013327636718749,0.26336218261718747,153,-75,10
28130684,-9.758765966796874,-0.08140285644531249,0.16759411621093748,152,-75,0
28130682,-9.758765966796874,-0.086191259765625,0.17238251953125,152,-76,10
28130692,-9.811438403320311,-0.1005564697265625,0.24899697265624998,153,-75,11
28130702,-9.854534033203125,-0.05746083984375,0.19153613281249998,153,-75,10
28130712,-9.801861596679688,-0.0430956298828125,0.16280571289062498,153,-74,10
28130722,-9.782707983398437,-0.0718260498046875,0.19632453613281248,152,-75,11
28130732,-9.868899243164062,-0.09576806640624999,0.201112939453125,152,-75,11
28130742,-9.8449572265625,-0.06703764648437499,0.24899697265624998,153,-75,11
28130752,-9.8449572265625,-0.062249243164062495,0.1580173095703125,153,-75,10
28130762,-9.840168823242188,-0.1005564697265625,0.181959326171875,152,-74,10
28130772,-9.801861596679688,-0.11013327636718749,0.229843359375,152,-75,10
28130782,-9.7683427734375,-0.0718260498046875,0.22026655273437498,153,-74,10
28130792,-9.821015209960937,-0.08140285644531249,0.201112939453125,153,-75,10
28130802,-9.80665,-0.05746083984375,0.24899697265624998,153,-75,10
28130812,-9.859322436523437,-0.08140285644531249,0.19632453613281248,153,-76,11
28130822,-9.749189160156249,-0.11013327636718749,0.19632453613281248,154,-75,11
28130832,-9.797073193359374,-0.09576806640624999,0.2537853759765625,153,-76,12
28130842,-9.849745629882811,-0.08140285644531249,0.2154781494140625,153,-75,10
28130852,-9.801861596679688,-0.0909796630859375,0.19153613281249998,153,-75,10
28130862,-9.821015209960937,-0.1149216796875,0.2537853759765625,152,-74,11
28130872,-9.849745629882811,-0.0383072265625,0.1867477294921875,153,-75,10
28130882,-9.801861596679688,-0.023942016601562498,0.239420166015625,153,-75,10
28130892,-9.830592016601562,-0.0526724365234375,0.22505495605468748,153,-74,10
28130902,-9.821015209960937,-0.06703764648437499,0.2442085693359375,153,-75,9
28130912,-9.816226806640625,-0.047884033203124995,0.19632453613281248,153,-75,10
28130922,-9.821015209960937,-0.0526724365234375,0.22026655273437498,153,-75,11
28130932,-9.82580361328125,-0.01915361328125,0.1867477294921875,152,-74,0
28130929,-9.82580361328125,-0.023942016601562498,0.1867477294921875,153,-75,10
28130939,-9.811438403320311,-0.06703764648437499,0.201112939453125,152,-75,11
28130949,-9.811438403320311,-0.1388636962890625,0.22026655273437498,152,-75,11
28130959,-9.777919580078125,-0.033518823242187495,0.2537853759765625,152,-75,10
28130969,-9.80665,-0.076614453125,0.21068974609375,153,-75,10
28130979,-9.830592016601562,-0.1005564697265625,0.19632453613281248,152,-75,10
28130989,-9.782707983398437,-0.086191259765625,0.21068974609375,152,-75,11
28130999,-9.801861596679688,-0.0383072265625,0.22026655273437498,153,-75,10
28131009,-9.849745629882811,-0.0909796630859375,0.26815058593749996,152,-74,10
28131019,-9.835380419921874,-0.0047884033203125,0.1867477294921875,152,-75,11
28131029,-9.80665,-0.0718260498046875,0.19632453613281248,153,-75,10
28131039,-9.849745629882811,-0.0430956298828125,0.2154781494140625,152,-75,10
28131049,-9.821015209960937,-0.12449848632812499,0.2442085693359375,153,-74,10
28131059,-9.797073193359374,-0.0909796630859375,0.22026655273437498,153,-75,10
28131069,-9.80665,-0.0430956298828125,0.2059013427734375,153,-75,11
28131079,-9.797073193359374,-0.1197100830078125,0.19632453613281248,153,-74,10
28131089,-9.830592016601562,-0.086191259765625,0.19153613281249998,153,-74,11
28131099,-9.782707983398437,-0.06703764648437499,0.19632453613281248,152,-75,11
28131109,-9.830592016601562,-0.047884033203124995,0.2442085693359375,153,-75,11
28131119,-9.82580361328125,-0.06703764648437499,0.16759411621093748,153,-76,10
28131129,-9.7683427734375,-0.105344873046875,0.21068974609375,153,-75,10
28131139,-9.787496386718749,-0.0718260498046875,0.19153613281249998,153,-75,11
28131149,-9.835380419921874,-0.0909796630859375,0.26815058593749996,153,-75,11
28131159,-9.840168823242188,-0.0718260498046875,0.201112939453125,152,-75,11
28131169,-9.835380419921874,-0.1005564697265625,0.22505495605468748,153,-75,10
28131179,-9.80665,-0.0430956298828125,0.2346317626953125,152,-74,0
28131177,-9.80665,-0.047884033203124995,0.239420166015625,152,-75,11
28131187,-9.8449572265625,-0.1005564697265625,0.1867477294921875,153,-75,11
28131197,-9.811438403320311,-0.086191259765625,0.19632453613281248,152,-75,11
28131207,-9.840168823242188,-0.08140285644531249,0.24899697265624998,153,-75,11
28131217,-9.758765966796874,-0.076614453125,0.13407529296874998,153,-74,11
28131227,-9.7683427734375,-0.047884033203124995,0.2059013427734375,153,-75,10
28131237,-9.816226806640625,-0.086191259765625,0.181959326171875,153,-75,11
28131247,-9.821015209960937,-0.062249243164062495,0.2154781494140625,153,-75,10
28131257,-9.797073193359374,-0.076614453125,0.1867477294921875,153,-75,10
28131267,-9.777919580078125,-0.0383072265625,0.26336218261718747,153,-75,11
28131277,-9.854534033203125,-0.028730419921875,0.17238251953125,153,-75,10
28131287,-9.811438403320311,-0.05746083984375,0.19153613281249998,152,-75,10
28131297,-9.821015209960937,-0.12449848632812499,0.19632453613281248,153,-75,10
28131307,-9.801861596679688,-0.1292868896484375,0.1771709228515625,153,-75,10
28131317,-9.773131176757811,-0.086191259765625,0.2442085693359375,153,-75,11
28131327,-9.840168823242188,-0.09576806640624999,0.181959326171875,152,-75,11
28131337,-9.753977563476562,-0.0909796630859375,0.258573779296875,153,-76,10
28131347,-9.7683427734375,-0.0430956298828125,0.24899697265624998,153,-74,10
28131357,-9.849745629882811,-0.076614453125,0.21068974609375,153,-75,10
28131367,-9.835380419921874,-0.0909796630859375,0.17238251953125,153,-75,10
28131377,-9.811438403320311,-0.0430956298828125,0.19153613281249998,152,-75,10
28131387,-9.777919580078125,-0.1197100830078125,0.24899697265624998,153,-75,10
28131397,-9.854534033203125,-0.0383072265625,0.21068974609375,153,-75,10
28131407,-9.773131176757811,-0.11013327636718749,0.2537853759765625,153,-75,10
28131417,-9.821015209960937,-0.062249243164062495,0.19632453613281248,153,-74,10
28131427,-9.7683427734375,-0.09576806640624999,0.2059013427734375,153,-74,0
28131424,-9.7683427734375,-0.09576806640624999,0.2059013427734375,153,-74,10
28131434,-9.816226806640625,-0.105344873046875,0.181959326171875,153,-75,10
28131444,-9.792284790039062,-0.0383072265625,0.15322890625,152,-76,10
28131454,-9.816226806640625,-0.0909796630859375,0.2537853759765625,153,-75,10
28131464,-9.835380419921874,-0.062249243164062495,0.229843359375,152,-75,11
28131474,-9.801861596679688,-0.033518823242187495,0.24899697265624998,153,-74,10
28131484,-9.801861596679688,-0.08140285644531249,0.1867477294921875,153,-75,10
28131494,-9.830592016601562,-0.01915361328125,0.22026655273437498,153,-75,10
28131504,-9.859322436523437,-0.105344873046875,0.239420166015625,153,-75,10
28131514,-9.840168823242188,-0.076614453125,0.2346317626953125,153,-75,10
28131524,-9.835380419921874,-0.08140285644531249,0.181959326171875,153,-76,10
28131534,-9.849745629882811,-0.05746083984375,0.2346317626953125,153,-75,10
28131544,-9.80665,-0.047884033203124995,0.2059013427734375,152,-75,10
28131554,-9.801861596679688,-0.01915361328125,0.1771709228515625,153,-75,10
28131564,-9.854534033203125,-0.0430956298828125,0.239420166015625,153,-75,10
28131574,-9.835380419921874,-0.0430956298828125,0.22026655273437498,153,-75,10
28131584,-9.787496386718749,-0.076614453125,0.229843359375,153,-75,10
28131594,-9.80665,-0.0909796630859375,0.1484405029296875,153,-74,10
28131604,-9.821015209960937,-0.1292868896484375,0.2059013427734375,153,-75,10
28131614,-9.8449572265625,-0.047884033203124995,0.19153613281249998,153,-75,10
28131624,-9.787496386718749,-0.08140285644531249,0.17238251953125,152,-76,10
28131634,-9.821015209960937,-0.0718260498046875,0.229843359375,153,-75,10
28131644,-9.82580361328125,-0.105344873046875,0.21068974609375,153,-75,11
28131654,-9.8449572265625,-0.047884033203124995,0.2537853759765625,153,-75,10
28131664,-9.801861596679688,-0.0718260498046875,0.2154781494140625,153,-75,10
